Rank,Item,roberta_collective
1,38,0.0636361613869667
2,13,0.0671748742461204
3,12,0.0800955444574356
4,39,0.0813862830400466
5,11,0.0858596935868263
6,18,0.0875514075160026
7,32,0.0902139469981193
8,40,0.0934031307697296
9,8,0.0945980921387672
10,2,0.0970547273755073
11,31,0.0976463630795478
12,25,0.1042185947299003
13,33,0.1181065812706947
14,24,0.1182986348867416
15,22,0.1206831783056259
16,9,0.1436712741851806
17,1,0.1511587798595428
18,27,0.1573166251182556
19,15,0.1591997295618057
20,28,0.1743727475404739
21,35,0.1774929314851761
22,36,0.1877924352884292
23,30,0.1954748183488845
24,34,0.1962186396121978
25,21,0.215261623263359
26,29,0.2359240800142288
27,19,0.2524549961090088
28,10,0.2826093435287475
29,17,0.2919456362724304
30,20,0.3027519881725311
31,4,0.3518936336040497
32,14,0.3601071536540985
33,37,0.3746337890625
34,7,0.3837493062019348
35,16,0.408335417509079
36,6,0.4169634878635406
37,26,0.4170956313610077
38,23,0.4314727783203125
39,3,0.4554643630981445
40,5,0.5538360476493835
